iter	Passed	Remaining
0	234	239170
1	403	205330
2	553	187599
3	681	173054
4	824	167317
5	1037	175284
6	1192	172562
7	1328	168094
8	1524	171289
9	1721	173852
10	1905	174781
11	2078	174599
12	2208	171062
13	2421	174023
14	2617	175344
15	2762	173335
16	3106	183281
17	3380	188204
18	3629	191210
19	3787	189381
20	4061	193228
21	4364	197989
22	4557	197565
23	4777	198249
24	5113	203520
25	5279	201842
26	5573	204969
27	5912	209466
28	6091	208160
29	6338	209159
30	6578	209886
31	6876	212312
32	7095	212209
33	7340	212871
34	7568	212991
35	7846	214480
36	8009	212803
37	8301	214517
38	8530	214578
39	8679	212652
40	8861	211585
41	9080	211457
42	9318	211715
43	9545	211734
44	9745	211148
45	9957	210837
46	10233	211865
47	10527	213177
48	10753	213101
49	10981	213044
50	11181	212443
51	11385	211938
52	11633	212263
53	11851	212011
54	12128	212807
55	12295	211651
56	12522	211572
57	12756	211585
58	12970	211266
59	13228	211650
60	13439	211285
61	13641	210777
62	13981	212381
63	14225	212491
64	14489	212881
65	14766	213448
66	14991	213243
67	15236	213306
68	15502	213667
69	15719	213335
70	15926	212882
71	16103	212032
72	16295	211392
73	16548	211550
74	16826	212018
75	17072	212057
76	17400	213102
77	17629	212914
78	17869	212847
79	18013	211656
80	18213	211137
81	18488	211489
82	18765	211841
83	18990	211608
84	19361	212979
85	19555	212380
86	19759	211905
87	19990	211717
88	20249	211822
89	20493	211768
90	20697	211296
91	20984	211668
92	21190	211221
93	21395	210769
94	21673	211035
95	21886	210655
96	22118	210463
97	22390	210649
98	22607	210318
99	22770	209484
100	22978	209085
101	23220	208982
102	23460	208862
103	23726	208976
104	23913	208385
105	24151	208251
106	24430	208461
107	24635	208033
108	24858	207761
109	25046	207203
110	25244	206728
111	25429	206163
112	25700	206289
113	25942	206170
114	26130	205632
115	26331	205203
116	26579	205141
117	26851	205256
118	27119	205330
119	27310	204827
120	27548	204681
121	27821	204784
122	28048	204545
123	28259	204195
124	28528	204261
125	28696	203606
126	28867	202982
127	29140	203075
128	29323	202534
129	29522	202112
130	29707	201605
131	29921	201292
132	30240	201681
133	30516	201773
134	30831	202116
135	31101	202158
136	31350	202063
137	31533	201541
138	31779	201424
139	32102	201787
140	32350	201676
141	32541	201205
142	32819	201275
143	33040	200996
144	33285	200858
145	33512	200618
146	33723	200275
147	34004	200352
148	34210	199981
149	34455	199842
150	34675	199556
151	34951	199590
152	35207	199507
153	35401	199077
154	35617	198768
155	35944	199078
156	36127	198586
157	36351	198321
158	36534	197838
159	36684	197180
160	36911	196935
161	37136	196684
162	37320	196217
163	37548	195985
164	37766	195696
165	38047	195737
166	38262	195438
167	38453	195013
168	38702	194887
169	38937	194687
170	39121	194233
171	39300	193762
172	39567	193721
173	39764	193339
174	39987	193083
175	40212	192837
176	40632	193521
177	40946	193691
178	41165	193410
179	41432	193350
180	41870	194083
181	42172	194176
182	42517	194464
183	42751	194241
184	43072	194410
185	43339	194327
186	43559	194036
187	43756	193646
188	44132	194042
189	44452	194188
190	44710	194057
191	45000	194065
192	45240	193853
193	45495	193708
194	45690	193305
195	45886	192909
196	46132	192727
197	46367	192495
198	46548	192040
199	46836	192030
200	47086	191860
201	47306	191568
202	47517	191240
203	47739	190958
204	47998	190825
205	48187	190409
206	48455	190311
207	48707	190148
208	48902	189762
209	49204	189787
210	49433	189534
211	49629	189152
212	49837	188821
213	50047	188496
214	50297	188322
215	50479	187896
216	50752	187807
217	50987	187579
218	51252	187457
219	51451	187096
220	51690	186880
221	51866	186439
222	52074	186112
223	52338	185988
224	52566	185733
225	52797	185492
226	53087	185457
227	53302	185155
228	53526	184890
229	53704	184462
230	53934	184217
231	54180	184028
232	54403	183757
233	54644	183548
234	54870	183289
235	55148	183204
236	55396	183019
237	55678	182944
238	55959	182864
239	56220	182718
240	56465	182518
241	56652	182132
242	56866	181830
243	57078	181529
244	57304	181269
245	57551	181075
246	57767	180787
247	58090	180831
248	58363	180715
249	58731	180891
250	59209	181403
251	59445	181168
252	59690	180958
253	59895	180630
254	60185	180555
255	60451	180410
256	60784	180461
257	61087	180421
258	61310	180143
259	61663	180248
260	62025	180373
261	62255	180113
262	62563	180077
263	62823	179904
264	63049	179632
265	63297	179421
266	63566	179272
267	63902	179308
268	64127	179032
269	64394	178874
270	64675	178751
271	64946	178601
272	65257	178561
273	65565	178511
274	66027	178873
275	66289	178694
276	66561	178538
277	66957	178714
278	67252	178617
279	67586	178621
280	67900	178572
281	68197	178473
282	68536	178486
283	68894	178542
284	69242	178572
285	69609	178648
286	69970	178705
287	70274	178615
288	70625	178640
289	70907	178490
290	71158	178262
291	71526	178327
292	71821	178204
293	72023	177854
294	72267	177606
295	72561	177482
296	72885	177428
297	73108	177128
298	73352	176878
299	73652	176765
300	73925	176587
301	74202	176414
302	74545	176399
303	74856	176307
304	75192	176270
305	75520	176213
306	75737	175898
307	75905	175469
308	76124	175160
309	76360	174889
310	76634	174706
311	76923	174557
312	77189	174354
313	77462	174168
314	77706	173914
315	78014	173804
316	78258	173552
317	78512	173320
318	78779	173116
319	79050	172922
320	79291	172662
321	79568	172480
322	79839	172285
323	80122	172114
324	80408	171950
325	80596	171575
326	80834	171309
327	81034	170962
328	81325	170809
329	81629	170679
330	81913	170509
331	82251	170447
332	82492	170187
333	82666	169787
334	82905	169523
335	83150	169271
336	83386	168998
337	83658	168801
338	83926	168596
339	84171	168342
340	84367	167993
341	84575	167667
342	84803	167382
343	84974	166983
344	85187	166670
345	85388	166334
346	85661	166139
347	85878	165835
348	86170	165674
349	86383	165361
350	86600	165059
351	86852	164823
352	87067	164515
353	87362	164359
354	87639	164169
355	87885	163921
356	88093	163602
357	88367	163404
358	88539	163020
359	88784	162771
360	89018	162501
361	89291	162304
362	89489	161969
363	89750	161747
364	90046	161590
365	90239	161248
366	90529	161078
367	90757	160797
368	91004	160552
369	91211	160236
370	91435	159950
371	91705	159744
372	91975	159539
373	92155	159178
374	92400	158928
375	92613	158625
376	92839	158344
377	93038	158018
378	93299	157796
379	93478	157437
380	93678	157114
381	93939	156893
382	94155	156598
383	94452	156436
384	94739	156258
385	95073	156157
386	95302	155882
387	95589	155702
388	95845	155471
389	96085	155215
390	96295	154910
391	96510	154613
392	96740	154342
393	96986	154095
394	97226	153838
395	97460	153573
396	97678	153283
397	97903	153004
398	98127	152724
399	98321	152398
400	98585	152180
401	98818	151914
402	99018	151599
403	99309	151423
404	99561	151185
405	99811	150946
406	100057	150701
407	100324	150487
408	100506	150145
409	100737	149878
410	100994	149649
411	101315	149513
412	101531	149224
413	101764	148960
414	102019	148726
415	102255	148466
416	102488	148202
417	102732	147955
418	102914	147616
419	103118	147312
420	103399	147117
421	103638	146862
422	103898	146637
423	104137	146381
424	104398	146157
425	104607	145861
426	104837	145593
427	105039	145288
428	105256	145004
429	105533	144801
430	105720	144476
431	105966	144232
432	106245	144031
433	106648	144000
434	106979	143868
435	107297	143719
436	107520	143442
437	107735	143155
438	108050	143001
439	108249	142692
440	108495	142446
441	108735	142192
442	109017	141994
443	109224	141696
444	109438	141409
445	109607	141064
446	109844	140807
447	110121	140601
448	110329	140307
449	110540	140017
450	110805	139796
451	110990	139475
452	111252	139249
453	111451	138945
454	111719	138729
455	111912	138417
456	112214	138242
457	112384	137904
458	112627	137656
459	112890	137432
460	113088	137128
461	113312	136858
462	113494	136536
463	113699	136243
464	113916	135965
465	114122	135673
466	114324	135377
467	114560	135122
468	114794	134865
469	115086	134675
470	115376	134483
471	115576	134185
472	115776	133889
473	115982	133600
474	116203	133327
475	116440	133074
476	116667	132809
